Field,ID,Type (Type),default,en-us,ru-ru,ru
DesktopScreenshotCaption4,153,Text,,Importing wallet,Импорт кошелька,Импорт кошелька
DesktopScreenshotCaption5,154,Text,,Adding any public addess for tracking,Добавление любого публичного адреса для отслеживания,Добавление любого публичного адреса для отслеживания
DesktopScreenshotCaption6,155,Text,,Wallet details,Детали кошелька,Детали кошелька
DesktopScreenshotCaption7,156,Text,,Transaction details,Детали транзакции,Детали транзакции
DesktopScreenshotCaption8,157,Text,,Receiving coins,Получение монет,Получение монет
DesktopScreenshotCaption9,158,Text,,Sending coins,Отправка монет,Отправка монет
DesktopScreenshotCaption10,159,Text,,All the settings,Множество настроек,Множество настроек
MobileScreenshot1,200,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot2,201,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot3,202,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot4,203,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot5,204,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot6,205,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot7,206,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot8,207,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot9,208,Relative path (or URL to file in Partner Center),,,,
MobileScreenshot10,209,Relative path (or URL to file in Partner Center),,,,
MobileScreenshotCaption1,250,Text,,,,
MobileScreenshotCaption2,251,Text,,,,
MobileScreenshotCaption3,252,Text,,,,
MobileScreenshotCaption4,253,Text,,,,
MobileScreenshotCaption5,254,Text,,,,
MobileScreenshotCaption6,255,Text,,,,
MobileScreenshotCaption7,256,Text,,,,
MobileScreenshotCaption8,257,Text,,,,
MobileScreenshotCaption9,258,Text,,,,
MobileScreenshotCaption10,259,Text,,,,
XboxScreenshot1,300,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot2,301,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot3,302,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot4,303,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot5,304,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot6,305,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot7,306,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot8,307,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot9,308,Relative path (or URL to file in Partner Center),,,,
XboxScreenshot10,309,Relative path (or URL to file in Partner Center),,,,
XboxScreenshotCaption1,350,Text,,,,
XboxScreenshotCaption2,351,Text,,,,
XboxScreenshotCaption3,352,Text,,,,
XboxScreenshotCaption4,353,Text,,,,
XboxScreenshotCaption5,354,Text,,,,
XboxScreenshotCaption6,355,Text,,,,
XboxScreenshotCaption7,356,Text,,,,
XboxScreenshotCaption8,357,Text,,,,
XboxScreenshotCaption9,358,Text,,,,
XboxScreenshotCaption10,359,Text,,,,
HolographicScreenshot1,400,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot2,401,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot3,402,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot4,403,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot5,404,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot6,405,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot7,406,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot8,407,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot9,408,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshot10,409,Relative path (or URL to file in Partner Center),,,,
HolographicScreenshotCaption1,450,Text,,,,
HolographicScreenshotCaption2,451,Text,,,,
HolographicScreenshotCaption3,452,Text,,,,
HolographicScreenshotCaption4,453,Text,,,,
HolographicScreenshotCaption5,454,Text,,,,
HolographicScreenshotCaption6,455,Text,,,,
HolographicScreenshotCaption7,456,Text,,,,
HolographicScreenshotCaption8,457,Text,,,,
HolographicScreenshotCaption9,458,Text,,,,
HolographicScreenshotCaption10,459,Text,,,,
StoreLogo720x1080,600,Relative path (or URL to file in Partner Center),,,,
StoreLogo1080x1080,601,Relative path (or URL to file in Partner Center),,,,
StoreLogo300x300,602,Relative path (or URL to file in Partner Center),,,,
OverrideLogosForWin10,603,True/False,,FALSE,FALSE,FALSE
StoreLogoOverride150x150,604,Relative path (or URL to file in Partner Center),,,,
StoreLogoOverride71x71,605,Relative path (or URL to file in Partner Center),,,,
PromoImage1920x1080,606,Relative path (or URL to file in Partner Center),,,,
PromoImage2400x1200,607,Relative path (or URL to file in Partner Center),,,,
XboxBrandedKeyArt584x800,608,Relative path (or URL to file in Partner Center),,,,
XboxTitledHero1920x1080,609,Relative path (or URL to file in Partner Center),,,,
XboxFeaturedPromo1080x1080,610,Relative path (or URL to file in Partner Center),,,,
OptionalPromo358x358,611,Relative path (or URL to file in Partner Center),,,,
OptionalPromo1000x800,612,Relative path (or URL to file in Partner Center),,,,
OptionalPromo414x180,613,Relative path (or URL to file in Partner Center),,,,
Feature1,700,Text,,Bitcoin payment protocol,Протокол оплаты биткоин,Протокол оплаты биткоин
Feature2,701,Text,,Bitcoin,Биткоин,Биткоин
Feature3,702,Text,,QR codes,QR коды,QR коды
Feature4,703,Text,,Test network,Тестовая сеть,Тестовая сеть
Feature5,704,Text,,Main network,Основная сеть,Основная сеть
Feature6,705,Text,,Bitcoin wallet,Биткоин кошелёк,Биткоин кошелёк
Feature7,706,Text,,BTC,BTC,BTC
Feature8,707,Text,,Public address tracking,Отслеживание публичных адресов,Отслеживание публичных адресов
Feature9,708,Text,,Segwit,Segwit,Segwit
Feature10,709,Text,,BIP44,BIP44,BIP44
Feature11,710,Text,,bip-0044,bip-0044,bip-0044
Feature12,711,Text,,,,
Feature13,712,Text,,,,
Feature14,713,Text,,,,
Feature15,714,Text,,,,
Feature16,715,Text,,,,
Feature17,716,Text,,,,
Feature18,717,Text,,,,
Feature19,718,Text,,,,
Feature20,719,Text,,,,
MinimumHardwareReq1,800,Text,,,,
MinimumHardwareReq2,801,Text,,,,
MinimumHardwareReq3,802,Text,,,,
MinimumHardwareReq4,803,Text,,,,
MinimumHardwareReq5,804,Text,,,,
MinimumHardwareReq6,805,Text,,,,
MinimumHardwareReq7,806,Text,,,,
MinimumHardwareReq8,807,Text,,,,
MinimumHardwareReq9,808,Text,,,,
MinimumHardwareReq10,809,Text,,,,
MinimumHardwareReq11,810,Text,,,,
RecommendedHardwareReq1,850,Text,,,,
RecommendedHardwareReq2,851,Text,,,,
RecommendedHardwareReq3,852,Text,,,,
RecommendedHardwareReq4,853,Text,,,,
RecommendedHardwareReq5,854,Text,,,,
RecommendedHardwareReq6,855,Text,,,,
RecommendedHardwareReq7,856,Text,,,,
RecommendedHardwareReq8,857,Text,,,,
RecommendedHardwareReq9,858,Text,,,,
RecommendedHardwareReq10,859,Text,,,,
RecommendedHardwareReq11,860,Text,,,,
SearchTerm1,900,Text,,,,
SearchTerm2,901,Text,,,,
SearchTerm3,902,Text,,,,
SearchTerm4,903,Text,,,,
SearchTerm5,904,Text,,,,
SearchTerm6,905,Text,,,,
SearchTerm7,906,Text,,,,
TrailerToPlayAtTopOfListing,999,Relative path (or URL to file in Partner Center),,,,
Trailer1,1000,Relative path (or URL to file in Partner Center),,,,
Trailer2,1001,Relative path (or URL to file in Partner Center),,,,
Trailer3,1002,Relative path (or URL to file in Partner Center),,,,
Trailer4,1003,Relative path (or URL to file in Partner Center),,,,
Trailer5,1004,Relative path (or URL to file in Partner Center),,,,
Trailer6,1005,Relative path (or URL to file in Partner Center),,,,
Trailer7,1006,Relative path (or URL to file in Partner Center),,,,
Trailer8,1007,Relative path (or URL to file in Partner Center),,,,
Trailer9,1008,Relative path (or URL to file in Partner Center),,,,
Trailer10,1009,Relative path (or URL to file in Partner Center),,,,
Trailer11,1010,Relative path (or URL to file in Partner Center),,,,
Trailer12,1011,Relative path (or URL to file in Partner Center),,,,
Trailer13,1012,Relative path (or URL to file in Partner Center),,,,
Trailer14,1013,Relative path (or URL to file in Partner Center),,,,
Trailer15,1014,Relative path (or URL to file in Partner Center),,,,
TrailerTitle1,1020,Text,,,,
TrailerTitle2,1021,Text,,,,
TrailerTitle3,1022,Text,,,,
TrailerTitle4,1023,Text,,,,
TrailerTitle5,1024,Text,,,,
TrailerTitle6,1025,Text,,,,
TrailerTitle7,1026,Text,,,,
TrailerTitle8,1027,Text,,,,
TrailerTitle9,1028,Text,,,,
TrailerTitle10,1029,Text,,,,
TrailerTitle11,1030,Text,,,,
TrailerTitle12,1031,Text,,,,
TrailerTitle13,1032,Text,,,,
TrailerTitle14,1033,Text,,,,
TrailerTitle15,1034,Text,,,,
TrailerThumbnail1,1040,Relative path (or URL to file in Partner Center),,,,
TrailerThumbnail2,1041,Relative path (or URL to file in Partner Center),,,,
TrailerThumbnail3,1042,Relative path (or URL to file in Partner Center),,,,
TrailerThumbnail4,1043,Relative path (or URL to file in Partner Center),,,,
TrailerThumbnail5,1044,Relative path (or URL to file in Partner Center),,,,
TrailerThumbnail6,1045,Relative path (or URL to file in Partner Center),,,,
TrailerThumbnail7,1046,Relative path (or URL to file in Partner Center),,,,
TrailerThumbnail8,1047,Relative path (or URL to file in Partner Center),,,,
TrailerThumbnail9,1048,Relative path (or URL to file in Partner Center),,,,
TrailerThumbnail10,1049,Relative path (or URL to file in Partner Center),,,,
TrailerThumbnail11,1050,Relative path (or URL to file in Partner Center),,,,
TrailerThumbnail12,1051,Relative path (or URL to file in Partner Center),,,,
TrailerThumbnail13,1052,Relative path (or URL to file in Partner Center),,,,
TrailerThumbnail14,1053,Relative path (or URL to file in Partner Center),,,,
TrailerThumbnail15,1054,Relative path (or URL to file in Partner Center),,,,
